model,run,schedule_y1,schedule_y2,schedule_y3,schedule_y4,stated_nfv,true_nfv,delta_vs_optimum,stated_over_true
claude-opus-4-7,1,5000,5000,5000,5000,1790000,387473,-338439,4.62
claude-opus-4-7,2,5500,5500,4500,4500,1560000,372032,-353880,4.19
claude-opus-4-7,3,5000,5000,5000,5000,1740000,387473,-338439,4.49
gemini-2.5-pro,1,5000,5000,5000,5000,1208614,387473,-338439,3.12
gemini-2.5-pro,2,20000,0,0,0,2380268,123205,-602707,19.32
gemini-2.5-pro,3,20000,0,0,0,2427337,123205,-602707,19.70
grok-4.20-multi-agent,1,0,0,0,20000,1369100,672144,-53768,2.04
grok-4.20-multi-agent,2,0,0,20000,0,1433000,517429,-208483,2.77
grok-4.20-multi-agent,3,0,0,20000,0,1410000,517429,-208483,2.72
mistral-large-2512,1,0,0,0,20000,10977600,672144,-53768,16.33
mistral-large-2512,2,2500,5000,5000,7500,3603000,477297,-248615,7.55
mistral-large-2512,3,2000,3000,5000,10000,10010000,563934,-161978,17.75
gpt-5.5,1,132,144,158,19566,1430600,694549,-31363,2.06
gpt-5.5,2,0,0,20000,0,1446520,517429,-208483,2.79
gpt-5.5,3,0,0,7226,12774,1535352,587751,-138161,2.61
deterministic-optimum,n/a,333,333,667,18667,n/a,725912,0,1.00
