model,model_version,interface,run_id,timestamp,stated_nfv,provable_optimum,overstatement_ratio,reasoning_mode
Grok 4.3,x-ai/grok-4.3,OpenRouter API,1,2026-06-15,5222000,739600.82,7.061,off
Grok 4.3,x-ai/grok-4.3,OpenRouter API,2,2026-06-15,3942877,739600.82,5.331,off
Grok 4.3,x-ai/grok-4.3,OpenRouter API,3,2026-06-15,12980000,739600.82,17.550,off
GPT-5.5,openai/gpt-5.5,OpenRouter API,1,2026-06-15,3407172,739600.82,4.607,off
GPT-5.5,openai/gpt-5.5,OpenRouter API,2,2026-06-15,1380000,739600.82,1.866,off
GPT-5.5,openai/gpt-5.5,OpenRouter API,3,2026-06-15,abstain,739600.82,,off
DeepSeek V3.2,deepseek/deepseek-v3.2,OpenRouter API,1,2026-06-15,2735160,739600.82,3.698,off
DeepSeek V3.2,deepseek/deepseek-v3.2,OpenRouter API,2,2026-06-15,1306840,739600.82,1.767,off
DeepSeek V3.2,deepseek/deepseek-v3.2,OpenRouter API,3,2026-06-15,1304200,739600.82,1.763,off
Claude Opus 4.8,claude-opus-4-8,Claude Code (local subscription),1,2026-06-15,1566600,739600.82,2.118,off
Claude Opus 4.8,claude-opus-4-8,Claude Code (local subscription),2,2026-06-15,1536000,739600.82,2.077,off
Claude Opus 4.8,claude-opus-4-8,Claude Code (local subscription),3,2026-06-15,1568000,739600.82,2.120,off
Qwen 3.7 Max,qwen/qwen3.7-max,OpenRouter API,1,2026-06-15,1326498,739600.82,1.794,off
Qwen 3.7 Max,qwen/qwen3.7-max,OpenRouter API,2,2026-06-15,2060547,739600.82,2.786,off
Qwen 3.7 Max,qwen/qwen3.7-max,OpenRouter API,3,2026-06-15,1198462,739600.82,1.620,off
